month,avg_price_usd,n_obs
2018-01-01,9.0795,12294
2018-02-01,9.5461,12311
2018-03-01,9.1518,12382
2018-04-01,9.1093,12508
2018-05-01,8.8915,12770
2018-06-01,8.6025,12259
2018-07-01,9.1091,12588
2018-08-01,9.1507,12266
2018-09-01,9.2784,12697
2018-10-01,9.2534,12479
2018-11-01,9.3826,11674
2018-12-01,9.4831,12742
2019-01-01,5.9891,14109
2019-02-01,6.0883,13289
2019-03-01,6.2786,13445
2019-04-01,6.8501,12538
2019-05-01,6.5361,13346
2019-06-01,6.0968,13745
2019-07-01,6.5302,15012
2019-08-01,7.4187,16127
2019-09-01,4.2536,15404
2019-10-01,8.1287,16057
2019-11-01,8.0689,15334
2019-12-01,9.9785,15425
2020-01-01,15.4520,20569
2020-02-01,16.6856,21105
2020-03-01,17.8353,21906
2020-04-01,18.0035,23381
2020-05-01,17.7984,27407
2020-06-01,6.1377,29175
2020-07-01,5.8948,29716
2020-08-01,5.8105,29867
2020-09-01,5.3364,30521
2020-10-01,5.1730,30525
2020-11-01,4.6682,33674
2020-12-01,4.4602,33080
2021-01-01,6.5838,34097
2021-02-01,6.7152,34683
2021-03-01,6.6656,35471
2021-04-01,7.4027,35010
2021-05-01,5.9134,31826
2021-06-01,6.9209,31022
2021-07-01,7.6312,31258
2021-08-01,7.4643,31162
2021-09-01,7.0915,31785
2021-10-01,7.0047,32157
2021-11-01,6.6704,31189
2021-12-01,6.6451,30795
2022-01-01,7.1605,31998
2022-02-01,7.2671,31841
2022-03-01,7.0865,30805
2022-04-01,7.5146,32588
2022-05-01,7.5981,32978
2022-06-01,7.9165,31404
2022-07-01,8.3961,30272
2022-08-01,7.9261,30399
2022-09-01,8.0301,31730
2022-10-01,7.7690,31846
2022-11-01,7.6964,31258
2022-12-01,8.0883,30598
